Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Инженер-программист,ОАО ЭЛЕКОНД,https://izhevsk.hh.ru/vacancy/104447980?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Ижевский Авиационный Завод,https://izhevsk.hh.ru/vacancy/104222153?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в автосалон,Автосалон ZIPPA AUTO,https://izhevsk.hh.ru/vacancy/105982305?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Алабуга. Управление цифровой трансформации,https://izhevsk.hh.ru/vacancy/105934350?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 3D графики (С++),ООО ЭДС,https://izhevsk.hh.ru/vacancy/105536197?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PHP,Алабуга. Human Resources,https://izhevsk.hh.ru/vacancy/105937587?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С: WMS,Алабуга. Управление цифровой трансформации,https://izhevsk.hh.ru/vacancy/105972279?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Прикладной разработчик линии внедрения (C#),Directum,https://izhevsk.hh.ru/vacancy/99844417?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель (информатик-программист),Филиал СамГУПС в г.Ижевске,https://izhevsk.hh.ru/vacancy/105968259?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,Welcome Group,https://izhevsk.hh.ru/vacancy/100558180?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист станков с ЧПУ,ООО Стрела,https://izhevsk.hh.ru/vacancy/105116254?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик (Vue3),Алабуга. Маркетинг и PR,https://izhevsk.hh.ru/vacancy/105879831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист технической поддержки ПО,ООО Центр Информационных Технологий БАРС,https://izhevsk.hh.ru/vacancy/99217582?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (middle),ООО Талан,https://izhevsk.hh.ru/vacancy/105998810?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший программист 1С,Алабуга. Управление цифровой трансформации,https://izhevsk.hh.ru/vacancy/105934924?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С: ERP,Алабуга. Управление цифровой трансформации,https://izhevsk.hh.ru/vacancy/105897487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 3 категории (сектор разработки и развития информационных систем),АО ИРЗ,https://izhevsk.hh.ru/vacancy/105834507?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python-разработчик,Т-Банк,https://izhevsk.hh.ru/vacancy/105982722?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик,Dexsys,https://izhevsk.hh.ru/vacancy/105835923?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
